Jornada,Posicion,Equipo,Puntos,J,G,E,P,F,C
37,1,Espanyol,77,37,23,8,6,66,23
37,2,Mallorca,71,37,21,8,8,46,24
37,3,Almería,63,37,18,9,10,53,35
37,4,Leganés,62,37,18,8,11,41,31
37,5,Real Sporting,58,37,15,13,9,35,25
37,6,Girona,58,37,16,10,11,39,34
37,7,Rayo Vallecano,57,37,16,9,12,43,36
37,8,Ponferradina,53,37,14,11,12,40,41
37,9,Fuenlabrada,50,37,11,17,9,41,40
37,10,Mirandés,49,37,13,10,14,34,35
37,11,Málaga,49,37,13,10,14,33,43
37,12,Las Palmas,49,37,12,13,12,42,48
37,13,Tenerife,47,37,12,11,14,31,31
37,14,Real Oviedo,44,37,9,17,11,38,38
37,15,Real Zaragoza,43,37,11,10,16,31,36
37,16,Alcorcón,41,37,11,8,18,29,39
37,17,UD Logroñés,41,37,10,11,16,25,43
37,18,CD Castellón,41,37,11,8,18,35,43
37,19,Sabadell,40,37,9,13,15,35,42
37,20,FC Cartagena,39,37,9,12,16,36,47
37,21,Lugo,37,37,8,13,16,32,49
37,22,Albacete,33,37,8,9,20,24,46
38,1,Espanyol,78,38,23,9,6,66,23
38,2,Mallorca,72,38,21,9,8,47,25
38,3,Almería,66,38,19,9,10,54,35
38,4,Leganés,63,38,18,9,11,42,32
38,5,Real Sporting,61,38,16,13,9,36,25
38,6,Girona,61,38,17,10,11,43,35
38,7,Rayo Vallecano,58,38,16,10,12,44,37
38,8,Ponferradina,53,38,14,11,13,40,42
38,9,Mirandés,52,38,14,10,14,36,36
38,10,Las Palmas,50,38,12,14,12,42,48
38,11,Málaga,50,38,13,11,14,34,44
38,12,Fuenlabrada,50,38,11,17,10,42,42
38,13,Real Oviedo,47,38,10,17,11,40,39
38,14,Tenerife,47,38,12,11,15,31,32
38,15,Real Zaragoza,44,38,11,11,16,31,36
38,16,FC Cartagena,42,38,10,12,16,37,47
38,17,Alcorcón,42,38,11,9,18,29,39
38,18,CD Castellón,41,38,11,8,19,35,44
38,19,UD Logroñés,41,38,10,11,17,26,47
38,20,Sabadell,40,38,9,13,16,36,44
38,21,Lugo,37,38,8,13,17,32,50
38,22,Albacete,36,38,9,9,20,25,46
39,1,Espanyol,78,39,23,9,7,66,25
39,2,Mallorca,75,39,22,9,8,49,25
39,3,Almería,67,39,19,10,10,55,36
39,4,Leganés,66,39,19,9,11,45,32
39,5,Girona,64,39,18,10,11,44,35
39,6,Real Sporting,61,39,16,13,10,36,26
39,7,Rayo Vallecano,61,39,17,10,12,46,38
39,8,Ponferradina,56,39,15,11,13,42,42
39,9,Mirandés,52,39,14,10,15,37,38
39,10,Real Oviedo,50,39,11,17,11,41,39
39,11,Tenerife,50,39,13,11,15,33,32
39,12,Fuenlabrada,50,39,11,17,11,43,44
39,13,Las Palmas,50,39,12,14,13,42,50
39,14,Málaga,50,39,13,11,15,34,45
39,15,Real Zaragoza,47,39,12,11,16,33,36
39,16,FC Cartagena,45,39,11,12,16,39,47
39,17,Alcorcón,42,39,11,9,19,29,41
39,18,CD Castellón,41,39,11,8,20,35,46
39,19,UD Logroñés,41,39,10,11,18,26,50
39,20,Sabadell,40,39,9,13,17,36,46
39,21,Lugo,40,39,9,13,17,34,51
39,22,Albacete,37,39,9,10,20,26,47
40,1,Espanyol,81,40,24,9,7,70,26
40,2,Mallorca,78,40,23,9,8,50,25
40,3,Leganés,67,40,19,10,11,45,32
40,4,Almería,67,40,19,10,11,57,39
40,5,Girona,67,40,19,10,11,45,35
40,6,Real Sporting,64,40,17,13,10,37,26
40,7,Rayo Vallecano,64,40,18,10,12,50,39
40,8,Ponferradina,56,40,15,11,14,43,46
40,9,Mirandés,53,40,14,11,15,37,38
40,10,Real Zaragoza,50,40,13,11,16,36,36
40,11,Tenerife,50,40,13,11,16,33,33
40,12,Real Oviedo,50,40,11,17,12,42,43
40,13,Fuenlabrada,50,40,11,17,12,43,45
40,14,Las Palmas,50,40,12,14,14,42,51
40,15,Málaga,50,40,13,11,16,34,46
40,16,FC Cartagena,48,40,12,12,16,42,49
40,17,Alcorcón,45,40,12,9,19,31,41
40,18,UD Logroñés,44,40,11,11,18,27,50
40,19,Lugo,41,40,9,14,17,35,52
40,20,CD Castellón,41,40,11,8,21,35,49
40,21,Sabadell,40,40,9,13,18,36,48
40,22,Albacete,38,40,9,11,20,27,48
41,1,Espanyol,82,41,24,10,7,71,27
41,2,Mallorca,81,41,24,9,8,52,26
41,3,Leganés,70,41,20,10,11,46,32
41,4,Almería,70,41,20,10,11,59,40
41,5,Girona,70,41,20,10,11,46,35
41,6,Rayo Vallecano,67,41,19,10,12,52,39
41,7,Real Sporting,65,41,17,14,10,37,26
41,8,Ponferradina,56,41,15,11,15,43,48
41,9,Mirandés,54,41,14,12,15,38,39
41,10,Las Palmas,53,41,13,14,14,45,53
41,11,Tenerife,51,41,13,12,16,34,34
41,12,Real Oviedo,51,41,11,18,12,43,44
